trip_id,pickup_time,drop_time,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,surge_fare
34,13-04-2025 15:30,13-04-2025 16:16,4,8.41,186,25,4,19.59,3.21
35,08-04-2025 01:49,08-04-2025 01:54,6,29.98,205,125,2,63.44,8.04
36,10-04-2025 19:10,10-04-2025 19:53,6,5.67,78,31,3,14.02,0.91
37,16-04-2025 07:39,16-04-2025 08:14,6,0.8,194,237,2,4.13,8.75
38,05-04-2025 15:38,05-04-2025 15:43,3,4.89,103,227,2,12.44,6.81
39,05-04-2025 05:18,05-04-2025 05:23,4,23.39,105,38,2,50.04,9.27
40,18-04-2025 06:58,18-04-2025 07:46,4,13.68,211,58,3,30.31,8.96
41,05-04-2025 09:38,05-04-2025 09:54,1,13.7,250,236,3,30.35,3.8
42,17-04-2025 08:06,17-04-2025 08:37,3,28.67,201,181,3,60.77,8.57
43,16-04-2025 15:41,16-04-2025 16:21,5,27.63,24,114,3,58.66,5.63
44,28-04-2025 11:25,28-04-2025 12:14,3,9.68,83,132,3,22.17,1.57
45,13-04-2025 00:55,13-04-2025 01:45,5,6.67,179,180,3,16.06,8.3
46,02-04-2025 23:27,03-04-2025 00:03,1,25.53,206,78,3,54.39,9.08
47,21-04-2025 21:48,21-04-2025 22:41,2,27.23,40,220,3,57.85,0.85
48,25-04-2025 09:42,25-04-2025 10:12,4,16.48,113,142,3,36,9.31
49,06-04-2025 16:20,06-04-2025 16:59,1,19.07,4,43,3,41.26,6.01
50,18-04-2025 05:27,18-04-2025 05:37,4,8.08,108,118,3,18.92,0.26
51,04-04-2025 14:04,04-04-2025 14:59,6,24.12,114,59,3,51.52,5.42
52,26-04-2025 02:58,26-04-2025 03:44,2,19.15,167,61,3,41.42,7.97
53,14-04-2025 08:13,14-04-2025 08:59,2,15.35,261,41,3,33.7,5.33
54,29-04-2025 14:38,29-04-2025 14:47,1,2.27,106,188,3,7.11,7.07
55,29-04-2025 03:35,29-04-2025 04:14,2,27.52,224,187,3,58.44,8.8
56,17-04-2025 11:00,17-04-2025 11:06,5,18.66,262,228,3,40.43,8.7
57,27-04-2025 06:37,27-04-2025 07:35,2,6.18,251,164,3,15.06,1.79
58,09-04-2025 18:01,09-04-2025 18:58,4,18.39,14,102,3,39.88,4.27
59,04-04-2025 03:58,04-04-2025 04:45,4,20.49,198,124,3,44.15,1.11
60,03-04-2025 02:03,03-04-2025 02:36,4,16.01,126,153,3,35.04,5.95
61,11-04-2025 08:55,11-04-2025 09:43,4,21.68,206,179,3,46.57,9.55
62,14-04-2025 04:05,14-04-2025 04:17,5,17.65,140,66,3,38.37,1.82
63,04-04-2025 15:09,04-04-2025 15:36,3,28.46,62,99,3,60.35,4.04
64,11-04-2025 14:16,11-04-2025 15:13,6,2.08,54,24,3,6.73,9.54
65,05-04-2025 14:19,05-04-2025 14:48,1,3.63,12,249,3,9.88,7.5
66,18-04-2025 07:11,18-04-2025 08:08,4,5.62,136,165,3,13.92,0.71
67,13-04-2025 15:37,13-04-2025 16:20,2,20.86,144,94,3,44.9,4.28
68,21-04-2025 15:14,21-04-2025 15:41,4,19.55,136,124,3,42.24,9.88
69,29-04-2025 22:20,29-04-2025 22:49,2,26.82,221,156,3,57.01,4.53
70,17-04-2025 14:29,17-04-2025 14:45,6,22.12,209,249,3,47.46,6.29
71,08-04-2025 09:39,08-04-2025 10:37,6,15.5,123,58,3,34,7.01
72,17-04-2025 20:20,17-04-2025 21:14,6,29.76,116,195,3,62.99,6.64
73,17-04-2025 04:03,17-04-2025 04:59,2,8.35,157,201,3,19.47,5.19
74,10-04-2025 12:50,10-04-2025 13:39,4,25.08,17,72,3,53.48,1.33
75,13-04-2025 03:36,13-04-2025 03:41,6,13.09,219,247,3,29.11,7.08
76,30-04-2025 11:49,30-04-2025 12:01,5,19.64,238,98,3,42.42,9.33
77,04-04-2025 05:59,04-04-2025 06:33,2,21.95,33,81,3,47.11,9.42
78,28-04-2025 17:20,28-04-2025 17:48,2,19.2,37,65,3,41.52,5.93
79,29-04-2025 21:33,29-04-2025 21:50,4,4.64,103,5,3,11.93,4.92
80,08-04-2025 18:55,08-04-2025 19:28,2,13.57,211,81,3,30.08,3.34
81,25-04-2025 07:25,25-04-2025 07:30,2,17.06,142,87,3,37.18,1.04
82,12-04-2025 03:23,12-04-2025 03:42,6,25.55,239,197,3,54.43,8.83
83,08-04-2025 10:28,08-04-2025 11:20,4,13.59,229,252,3,30.12,1.37
84,22-04-2025 00:54,22-04-2025 01:00,6,27.6,133,83,3,58.6,2.88
85,18-04-2025 06:27,18-04-2025 07:20,6,13.49,125,27,3,29.92,7.4
86,13-04-2025 06:51,13-04-2025 07:13,4,16.69,53,182,3,36.42,7.05
87,30-04-2025 03:03,30-04-2025 03:51,1,23.99,88,135,3,51.26,6.81
88,26-04-2025 08:20,26-04-2025 09:10,6,17.7,98,90,3,38.48,7.42
89,10-04-2025 23:52,11-04-2025 00:19,5,28.83,95,206,3,61.1,5.42
90,15-04-2025 18:12,15-04-2025 18:29,5,19.98,188,27,3,43.11,1.55
91,03-04-2025 13:05,03-04-2025 13:15,2,15.92,256,59,3,34.86,9.98
92,11-04-2025 10:10,11-04-2025 11:07,5,1.2,73,72,3,4.94,8.92
93,02-04-2025 11:03,02-04-2025 11:47,2,12.71,18,227,3,28.33,4.31
94,15-04-2025 08:33,15-04-2025 09:18,1,9.33,164,91,3,21.46,5.3
95,19-04-2025 06:10,19-04-2025 06:34,4,22.57,146,68,3,48.37,3.94
96,13-04-2025 04:26,13-04-2025 05:22,4,6.64,253,260,3,16,6.38
97,04-04-2025 00:17,04-04-2025 01:07,4,6.55,160,146,3,15.81,7.31
98,10-04-2025 14:26,10-04-2025 14:45,5,6.09,49,63,3,14.88,2.32
99,26-04-2025 19:30,26-04-2025 19:49,1,4.21,176,180,3,11.06,4.33
100,15-04-2025 07:42,15-04-2025 08:18,5,9.67,65,111,3,22.15,6.4
101,10-04-2025 16:14,10-04-2025 16:42,5,26.63,50,191,3,56.63,9.88
102,30-04-2025 19:54,30-04-2025 20:01,1,23.36,4,246,3,49.98,3.25
103,23-04-2025 17:17,23-04-2025 17:39,1,22.19,119,123,3,47.6,7.45
104,19-04-2025 00:08,19-04-2025 00:44,1,24.02,164,57,3,51.32,3.47
105,30-04-2025 06:09,30-04-2025 06:59,1,8.45,223,160,3,19.67,0.92
106,21-04-2025 21:11,21-04-2025 22:01,4,26.68,156,127,3,56.73,7.7
107,07-04-2025 12:03,07-04-2025 12:46,3,4.55,262,225,3,11.75,6.49
108,13-04-2025 01:19,13-04-2025 01:37,3,10.42,173,95,3,23.68,5.14
109,07-04-2025 08:30,07-04-2025 08:35,1,17.81,23,6,3,38.7,6.75
110,12-04-2025 05:22,12-04-2025 05:39,3,3.54,61,234,3,9.7,8.79
111,26-04-2025 13:09,26-04-2025 14:06,3,22.04,134,16,3,47.3,7.57
112,25-04-2025 12:42,25-04-2025 13:27,1,11.92,24,140,3,26.73,8.58
113,12-04-2025 22:59,12-04-2025 23:29,3,23.64,45,195,3,50.55,2.9
114,27-04-2025 14:31,27-04-2025 14:43,5,15.04,179,186,3,33.07,8
115,20-04-2025 11:57,20-04-2025 12:57,2,5.84,63,125,3,14.37,3.6
116,27-04-2025 13:22,27-04-2025 13:44,2,22.18,29,17,3,47.58,0.21
117,19-04-2025 04:15,19-04-2025 04:56,1,7.94,96,26,3,18.64,0.43
118,17-04-2025 11:23,17-04-2025 12:00,4,14.98,55,213,3,32.95,7.3
119,10-04-2025 23:33,11-04-2025 00:09,1,2.73,153,1,3,8.05,2.72
120,07-04-2025 07:05,07-04-2025 07:20,4,18.73,219,38,3,40.57,3.08
121,24-04-2025 04:32,24-04-2025 05:12,2,20.14,173,233,3,43.44,6.23
122,23-04-2025 11:03,23-04-2025 11:20,1,11.67,96,260,3,26.22,7.42
123,05-04-2025 03:17,05-04-2025 04:04,6,28.66,123,261,3,60.75,5.59
124,03-04-2025 03:27,03-04-2025 04:19,5,26.29,12,238,3,55.94,7.06
125,05-04-2025 23:45,06-04-2025 00:26,3,21.38,4,106,3,45.96,9.41
126,07-04-2025 22:56,07-04-2025 23:44,4,21.55,67,247,3,46.3,8.54
127,29-04-2025 13:20,29-04-2025 14:08,6,7.95,145,38,3,18.66,2.41
128,08-04-2025 06:44,08-04-2025 07:27,3,19.88,65,46,3,42.91,9.07
129,20-04-2025 05:06,20-04-2025 05:47,3,6.35,82,210,3,15.41,2.97
130,28-04-2025 03:26,28-04-2025 03:42,1,4.75,105,93,3,12.15,6.61
131,03-04-2025 21:23,03-04-2025 21:32,3,29.98,181,220,3,63.44,8.75
132,18-04-2025 12:16,18-04-2025 12:58,5,18.86,105,256,3,40.83,6.23
133,18-04-2025 08:49,18-04-2025 09:02,6,13.21,226,137,3,29.35,8.06
134,28-04-2025 02:52,28-04-2025 03:44,3,9,28,231,3,20.79,9.27
135,22-04-2025 07:14,22-04-2025 07:23,1,18.32,16,202,3,39.74,9.67
136,25-04-2025 01:56,25-04-2025 02:09,5,1.96,54,66,3,6.48,4.11
137,12-04-2025 10:36,12-04-2025 10:57,2,3.29,114,38,3,9.19,9.93
138,26-04-2025 04:16,26-04-2025 04:57,6,1.47,38,155,3,5.49,2.72
139,01-04-2025 12:32,01-04-2025 13:31,3,15.23,230,105,3,33.46,4.62
140,06-04-2025 05:07,06-04-2025 05:26,1,18.22,166,255,3,39.53,7.61
141,25-04-2025 10:30,25-04-2025 11:08,2,2.34,182,16,3,7.26,9.7
142,13-04-2025 03:26,13-04-2025 04:17,2,21.78,205,79,3,46.77,0.53
143,30-04-2025 04:06,30-04-2025 05:01,4,7.3,245,13,3,17.34,9.46
144,16-04-2025 11:33,16-04-2025 11:55,5,20.71,121,102,3,44.59,9.99
145,06-04-2025 01:50,06-04-2025 02:07,3,29.47,259,152,3,62.4,9.1
146,14-04-2025 08:34,14-04-2025 09:33,1,20.89,210,178,3,44.96,1.08
147,20-04-2025 18:52,20-04-2025 19:40,4,26.55,194,87,3,56.46,8.41
148,08-04-2025 04:45,08-04-2025 04:51,5,28.47,68,88,3,60.37,6.4
149,21-04-2025 15:35,21-04-2025 16:24,4,14.86,114,29,3,32.7,0.1
150,01-04-2025 03:32,01-04-2025 04:20,6,21.22,220,100,3,45.63,9.84
151,12-04-2025 23:41,13-04-2025 00:20,5,25.63,220,115,3,54.59,1.51
152,23-04-2025 18:46,23-04-2025 19:30,5,11.02,218,210,3,24.9,3.97
153,09-04-2025 03:08,09-04-2025 03:29,3,8.21,237,74,3,19.19,0.3
154,24-04-2025 02:31,24-04-2025 03:19,5,28.42,94,135,3,60.26,3.1
155,05-04-2025 20:13,05-04-2025 20:53,4,21.93,253,78,3,47.07,5.68
156,29-04-2025 10:59,29-04-2025 11:33,5,6.98,215,125,3,16.69,9.31
157,14-04-2025 13:58,14-04-2025 14:03,3,13.75,258,38,3,30.45,9.9
158,30-04-2025 01:54,30-04-2025 02:26,3,24,240,106,3,51.28,4.23
159,24-04-2025 02:30,24-04-2025 03:16,6,16.64,214,44,3,36.32,4.28
160,28-04-2025 17:09,28-04-2025 17:57,4,19.67,98,225,3,42.48,1.6
161,10-04-2025 01:15,10-04-2025 02:01,2,22.74,16,242,3,48.72,4.98
162,07-04-2025 22:56,07-04-2025 23:04,2,18.85,154,153,3,40.81,9.4
163,18-04-2025 00:24,18-04-2025 01:23,5,16.43,16,24,3,35.89,1.65
164,08-04-2025 08:27,08-04-2025 08:52,6,22.61,198,124,3,48.46,2.66
165,25-04-2025 13:08,25-04-2025 13:40,1,21.96,108,261,3,47.13,8.91
166,25-04-2025 03:17,25-04-2025 04:16,5,19.08,23,146,3,41.28,6.26
167,01-04-2025 00:37,01-04-2025 01:08,6,11.11,42,191,3,25.08,3.31
168,28-04-2025 06:12,28-04-2025 06:34,4,12.47,37,165,3,27.85,8.13
169,15-04-2025 18:03,15-04-2025 18:15,4,29.13,165,71,3,61.71,1.09
170,23-04-2025 05:41,23-04-2025 06:29,4,3.82,116,201,3,10.26,8.58
171,01-04-2025 21:16,01-04-2025 21:54,4,8.42,150,12,3,19.61,5.18
172,06-04-2025 02:11,06-04-2025 02:45,4,15.03,6,52,3,33.05,7.57
173,17-04-2025 12:28,17-04-2025 13:04,6,25.18,32,256,3,53.68,5.18
174,14-04-2025 23:53,15-04-2025 00:21,6,5.33,145,9,3,13.33,2.46
175,11-04-2025 21:32,11-04-2025 22:10,3,8.67,177,140,3,20.12,6.41
176,03-04-2025 15:16,03-04-2025 16:09,2,2.44,177,100,3,7.46,1.55
177,11-04-2025 23:05,11-04-2025 23:12,4,21.33,61,137,3,45.85,2.3
178,26-04-2025 19:42,26-04-2025 20:33,1,7.53,77,22,3,17.81,5.49
179,04-04-2025 14:01,04-04-2025 14:20,6,11.97,86,145,3,26.83,3.9
180,04-04-2025 21:33,04-04-2025 21:41,1,13.59,191,161,3,30.12,7.45
181,23-04-2025 02:49,23-04-2025 03:11,1,26.79,7,249,3,56.95,5.84
182,04-04-2025 03:35,04-04-2025 04:06,1,12.63,85,175,3,28.17,3.81
183,25-04-2025 05:51,25-04-2025 06:30,3,4.78,262,88,3,12.22,3.27
184,06-04-2025 17:21,06-04-2025 17:54,6,15.97,259,33,3,34.96,9.13
185,06-04-2025 20:14,06-04-2025 20:39,1,28.91,47,226,3,61.26,0.4
186,22-04-2025 15:08,22-04-2025 15:13,4,18.43,94,112,3,39.96,6.91
187,26-04-2025 00:31,26-04-2025 01:01,5,29.51,224,82,3,62.48,3.92
188,08-04-2025 12:21,08-04-2025 12:38,1,25.31,3,213,3,53.94,3.77
189,13-04-2025 01:30,13-04-2025 01:56,3,1.56,129,8,3,5.67,6.52
190,25-04-2025 00:21,25-04-2025 00:31,6,19.92,249,134,3,42.99,8.5
191,28-04-2025 14:33,28-04-2025 15:14,3,8.96,229,118,3,20.71,7.24
192,20-04-2025 06:10,20-04-2025 07:06,1,17.01,131,84,3,37.07,6.7
193,10-04-2025 15:20,10-04-2025 15:26,6,8.74,228,258,3,20.26,4.96
194,25-04-2025 13:03,25-04-2025 13:55,5,10.79,177,243,3,24.43,4.69
195,10-04-2025 03:42,10-04-2025 04:01,1,27.73,31,237,3,58.86,4.61
196,15-04-2025 04:28,15-04-2025 05:17,3,6.6,66,150,3,15.91,1.45
197,19-04-2025 03:48,19-04-2025 04:20,2,26.29,206,21,3,55.94,5.6
198,30-04-2025 13:50,30-04-2025 13:59,4,1.4,101,134,3,5.35,3.15
199,17-04-2025 23:52,18-04-2025 00:12,3,3.18,31,96,3,8.96,6.18
200,20-04-2025 22:31,20-04-2025 22:48,6,25.71,191,13,3,54.76,5.34
201,24-04-2025 13:19,24-04-2025 13:34,1,19.1,66,1,3,41.32,9.4
202,21-04-2025 13:08,21-04-2025 13:34,4,22.54,235,150,3,48.31,4.35
203,06-04-2025 12:10,06-04-2025 12:34,1,6.68,202,117,3,16.08,6.64
204,12-04-2025 06:46,12-04-2025 06:55,6,16.34,225,152,3,35.71,5.93
205,11-04-2025 05:25,11-04-2025 06:10,1,22.25,83,64,3,47.72,6.84
206,03-04-2025 21:56,03-04-2025 22:41,2,19.01,46,150,3,41.14,2.67
207,16-04-2025 09:16,16-04-2025 09:27,4,14.42,89,12,3,31.81,2.57
208,01-04-2025 22:58,01-04-2025 23:04,4,28.81,186,90,3,61.06,5.6
209,27-04-2025 18:35,27-04-2025 19:10,6,20.45,189,83,3,44.07,8.49
210,26-04-2025 05:01,26-04-2025 05:33,2,27.28,246,250,3,57.95,7.2
211,11-04-2025 11:20,11-04-2025 12:16,3,22.03,46,33,3,47.28,4.89
212,27-04-2025 18:44,27-04-2025 18:50,1,22.2,257,149,3,47.62,2.55
213,11-04-2025 00:32,11-04-2025 01:14,5,2.86,61,128,3,8.31,7.59
214,01-04-2025 07:51,01-04-2025 08:47,1,11.1,105,100,3,25.06,9.26
215,04-04-2025 05:32,04-04-2025 06:17,1,25.82,14,212,3,54.98,2.13
216,29-04-2025 17:19,29-04-2025 17:45,3,7.36,77,74,3,17.46,7.99
217,03-04-2025 16:18,03-04-2025 17:16,1,3.91,230,96,3,10.45,1.72
218,11-04-2025 10:03,11-04-2025 10:24,2,10.12,167,92,3,23.07,9.01
219,04-04-2025 01:37,04-04-2025 01:57,2,7,66,175,3,16.73,6.42
220,02-04-2025 10:18,02-04-2025 10:29,4,27.8,32,225,3,59,1.81
221,16-04-2025 00:54,16-04-2025 01:29,6,26.11,96,175,3,55.57,0.36
222,04-04-2025 05:23,04-04-2025 05:43,5,15.24,58,56,3,33.48,6.95
223,24-04-2025 09:35,24-04-2025 10:01,1,2.31,104,35,3,7.2,6.06
224,11-04-2025 19:57,11-04-2025 20:55,1,21.58,134,119,3,46.36,6.11
225,13-04-2025 16:10,13-04-2025 16:18,3,18.89,217,56,3,40.89,4.82
226,23-04-2025 02:12,23-04-2025 03:09,6,29.13,67,105,3,61.71,6.14
227,10-04-2025 18:00,10-04-2025 18:26,2,16.99,178,176,3,37.03,8.73
228,25-04-2025 12:59,25-04-2025 13:37,5,10.42,247,106,3,23.68,9.52
229,07-04-2025 00:31,07-04-2025 01:26,4,15.81,235,80,3,34.63,3.45
230,26-04-2025 23:43,27-04-2025 00:03,2,29.39,131,163,3,62.24,4.88
231,27-04-2025 05:22,27-04-2025 05:31,6,21.04,112,51,3,45.26,2.73
232,22-04-2025 12:16,22-04-2025 13:10,4,20.32,54,75,3,43.8,4.12
233,12-04-2025 01:25,12-04-2025 02:08,3,7.6,239,127,3,17.95,7.96
234,22-04-2025 12:36,22-04-2025 13:20,3,22.44,240,246,3,48.11,4.25
235,19-04-2025 12:37,19-04-2025 13:10,1,22.63,112,234,3,48.5,3.92
236,09-04-2025 15:58,09-04-2025 16:51,6,9.86,88,155,3,22.54,8.5
237,05-04-2025 07:01,05-04-2025 07:12,5,14.77,228,73,3,32.52,0.01
238,05-04-2025 09:52,05-04-2025 10:37,4,9.19,208,137,3,21.18,8.52
239,30-04-2025 23:47,01-05-2025 00:20,2,8.13,70,44,3,19.02,1.81
240,20-04-2025 14:49,20-04-2025 15:31,6,1.26,220,247,3,5.06,2.75
241,17-04-2025 02:59,17-04-2025 03:11,6,8.91,231,149,3,20.61,3.62
242,20-04-2025 06:39,20-04-2025 06:49,3,16.84,255,56,3,36.73,8.81
243,19-04-2025 17:01,19-04-2025 17:09,1,0.55,142,176,3,3.62,9.09
244,22-04-2025 06:06,22-04-2025 06:13,1,8.85,69,257,3,20.49,6.61
245,03-04-2025 11:10,03-04-2025 11:39,4,26.5,89,63,3,56.36,4.39
246,30-04-2025 17:44,30-04-2025 18:09,3,18.01,136,63,3,39.11,5.16
247,30-04-2025 09:48,30-04-2025 10:47,6,18.43,143,29,3,39.96,5.8
248,05-04-2025 11:29,05-04-2025 12:18,5,12.4,187,40,3,27.7,9.54
249,03-04-2025 18:12,03-04-2025 18:21,3,20.46,11,147,3,44.09,9.69
250,19-04-2025 07:46,19-04-2025 08:41,4,6.1,148,88,3,14.9,8.47
251,16-04-2025 10:36,16-04-2025 10:49,4,24.65,38,56,3,52.6,5.84
252,05-04-2025 23:21,05-04-2025 23:29,3,3.94,208,193,3,10.51,3.91
253,12-04-2025 07:35,12-04-2025 08:31,4,19.85,210,100,3,42.85,2.3
254,09-04-2025 17:16,09-04-2025 17:49,3,10.56,1,215,3,23.96,5.34
255,09-04-2025 15:45,09-04-2025 15:53,2,22.55,65,141,3,48.33,3.46
256,25-04-2025 09:46,25-04-2025 10:10,3,16.72,1,49,3,36.48,0.73
257,21-04-2025 10:00,21-04-2025 10:44,3,13.84,243,115,3,30.63,4.76
258,07-04-2025 09:06,07-04-2025 09:51,4,5.5,25,229,3,13.68,5.71
259,20-04-2025 04:48,20-04-2025 05:20,4,19.29,50,252,3,41.71,6.11
260,09-04-2025 08:25,09-04-2025 08:34,1,29.26,241,75,3,61.97,0.74
261,13-04-2025 16:14,13-04-2025 16:25,1,24.86,32,191,3,53.03,4.83
262,22-04-2025 01:18,22-04-2025 02:06,2,2.27,33,199,3,7.11,6.56
263,12-04-2025 08:51,12-04-2025 08:59,1,11.6,200,163,3,26.08,9.61
264,04-04-2025 10:20,04-04-2025 11:00,3,27.8,234,139,3,59,0.25
265,21-04-2025 04:01,21-04-2025 04:09,4,15.34,26,49,3,33.68,6.76
266,26-04-2025 01:06,26-04-2025 01:29,1,20.03,42,115,3,43.21,0.62
267,05-04-2025 10:56,05-04-2025 11:55,1,27.42,61,168,3,58.23,1.59
268,03-04-2025 07:15,03-04-2025 07:44,2,26.28,41,47,3,55.92,1.73
269,30-04-2025 16:18,30-04-2025 16:48,6,15.3,130,259,3,33.6,3.29
270,25-04-2025 14:27,25-04-2025 14:38,2,13.41,198,216,3,29.76,8.31
271,01-04-2025 16:07,01-04-2025 16:51,3,10.52,151,230,3,23.88,8.56
272,05-04-2025 05:52,05-04-2025 06:45,4,21.71,204,127,3,46.63,3.75
273,11-04-2025 18:11,11-04-2025 18:42,2,8.97,182,225,3,20.73,4.31
274,08-04-2025 13:39,08-04-2025 13:58,1,7.87,207,150,3,18.5,2.17
275,19-04-2025 11:54,19-04-2025 12:54,4,11.01,147,46,3,24.88,4.33
276,23-04-2025 02:26,23-04-2025 03:09,4,5.73,204,14,3,14.15,2.75
277,22-04-2025 21:46,22-04-2025 22:41,1,21.01,48,121,3,45.2,1.75
278,10-04-2025 17:28,10-04-2025 18:15,2,18.68,258,191,3,40.47,1.58
279,19-04-2025 06:02,19-04-2025 06:46,1,14.74,139,166,3,32.46,7.76
280,03-04-2025 16:02,03-04-2025 16:07,6,12.01,172,117,3,26.91,1.17
281,08-04-2025 11:49,08-04-2025 12:23,4,27.32,101,124,3,58.03,6.16
282,18-04-2025 05:56,18-04-2025 06:25,5,1.36,187,54,3,5.26,1.67
283,01-04-2025 02:21,01-04-2025 02:55,5,23.19,21,199,3,49.63,8.38
284,18-04-2025 18:26,18-04-2025 19:21,3,27.11,10,216,3,57.6,2.74
285,13-04-2025 01:40,13-04-2025 02:12,1,13.67,187,113,3,30.28,0.45
286,21-04-2025 16:59,21-04-2025 17:43,1,16.75,133,16,3,36.55,4.52
287,13-04-2025 23:34,14-04-2025 00:18,3,28.36,33,216,3,60.14,10
288,20-04-2025 06:02,20-04-2025 06:13,3,6.76,69,135,3,16.24,8.13
289,26-04-2025 07:02,26-04-2025 07:28,3,15.84,80,43,3,34.7,5.7
290,23-04-2025 03:34,23-04-2025 04:20,4,14.5,191,252,3,31.97,1.89
291,08-04-2025 01:04,08-04-2025 01:52,6,8.12,101,98,3,19,1.18
292,09-04-2025 15:25,09-04-2025 16:20,1,24.65,221,60,3,52.6,8.39
293,14-04-2025 12:05,14-04-2025 12:11,4,27.04,53,230,3,57.46,7.88
294,10-04-2025 21:47,10-04-2025 22:21,3,23.57,160,131,3,50.41,4.62
295,03-04-2025 15:52,03-04-2025 16:30,1,6.26,42,159,3,15.22,4.21
296,27-04-2025 08:37,27-04-2025 09:03,4,3.06,47,84,3,8.72,7.49
297,25-04-2025 16:13,25-04-2025 16:55,6,18.36,159,208,3,39.82,5.36
298,03-04-2025 18:34,03-04-2025 18:51,4,2.18,184,174,3,6.93,4.04
299,15-04-2025 06:32,15-04-2025 06:43,6,20.35,246,81,3,43.86,2.52
300,03-04-2025 14:26,03-04-2025 14:37,3,16.15,11,18,3,35.33,1.23
301,03-04-2025 06:46,03-04-2025 06:51,6,20.05,154,196,3,43.25,5.95
302,27-04-2025 14:04,27-04-2025 14:47,1,17.91,220,254,3,38.9,8.26
303,22-04-2025 16:46,22-04-2025 17:36,3,12.97,155,142,3,28.86,7.46
304,23-04-2025 21:14,23-04-2025 21:23,1,6.43,187,165,3,15.57,6.96
305,25-04-2025 04:07,25-04-2025 04:49,5,9.52,62,5,3,21.85,9.29
306,08-04-2025 03:57,08-04-2025 04:52,2,15.97,148,251,3,34.96,3.95
307,03-04-2025 14:07,03-04-2025 15:05,6,19.73,144,150,3,42.6,1.37
308,24-04-2025 02:41,24-04-2025 02:58,2,23.49,103,28,3,50.24,1.02
309,04-04-2025 15:30,04-04-2025 16:11,2,23.13,93,237,3,49.51,9.55
310,09-04-2025 10:58,09-04-2025 11:11,6,29.19,119,132,3,61.83,5.89
311,04-04-2025 02:50,04-04-2025 03:35,3,8.93,29,163,3,20.65,8.11
312,28-04-2025 01:56,28-04-2025 02:33,5,2.6,30,227,3,7.78,5.36
313,04-04-2025 02:13,04-04-2025 02:34,1,10.7,138,130,3,24.25,3.98
314,11-04-2025 16:54,11-04-2025 17:21,4,22.43,51,58,3,48.09,2
315,19-04-2025 09:01,19-04-2025 09:32,1,13.42,234,146,3,29.78,8.56
316,06-04-2025 10:56,06-04-2025 11:31,4,24.62,55,122,3,52.54,0.64
